OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,ActiveFireCandidate,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
430952,37601201,,DEFAULT,,,wildcade,525,,NMSDC,,,,,,,,,,Undetermined,,,,,1/3/2025 6:16:39 PM,,,,,,,,,SWCC,,,,,,RX Feeley Piles,,RX,FI,32.872617,-108.316117,,,{567C4452-F1B0-4042-AFD0-2683D0DFBD27},,0,1,,,,,000014,wildcade,,,,Grant,NMSDC,35017,USFS,NMGNF,,USFS,Federal,,,,,,,SW08,USFS,NMGNF,US-NM,,,,,,2025-NMGNF-000014,No Decision,,,,1/3/2025 6:18:07 PM,10/9/2025 8:27:54 PM,1,0,,,{567C4452-F1B0-4042-AFD0-2683D0DFBD27},e7dcdc2f-e69e-46a4-965b-ee8dcad2bb43,,-108.27705,32.848533
506287,38468885,,DEFAULT,,,cfcad,,0.01,CACICC,,,,,,,,,,Undetermined,,,,,1/7/2025 3:59:51 AM,,,,,,,,,ONCC,,,,,,SLY PARK RX.,,RX,FI,38.705409,-120.599444,,,{FEAC96F6-C4A8-4607-BCCC-04549583793D},,0,0,0,0,0,,000537,cfcad,,,,El Dorado,CACICC,06017,,,,Private,Private,,,,,,,NC07,CAL FIRE,CAAEU,US-CA,,,,,,2025-CAAEU-000537,No Decision,,,,10/10/2025 8:20:55 PM,10/10/2025 8:20:55 PM,1,0,,,{1940852C-12E1-441B-9107-98F6B2BDD368},b8f32122-786d-4bb8-9c9d-6996d73208fc,,-120.599444,38.705409
506221,38468819,,DEFAULT,,,cfcad,,0.01,CACZCC,,,,,,,,,,Undetermined,,,,,2/6/2025 8:56:27 PM,,,,,,,,,ONCC,,,,,,LOCATELLI RX 2,,RX,FI,37.14192,-122.187036,,,{F4C36D56-A9D9-42E4-9257-4C94C100EF3E},,0,0,0,0,0,,000908,cfcad,,,,Santa Cruz,CACZCC,06087,,,,Private,Private,,,,,,,NC03B,CAL FIRE,CACZU,US-CA,,,,,,2025-CACZU-000908,No Decision,,,,10/10/2025 3:23:33 PM,10/10/2025 3:23:33 PM,1,0,,,{EF4D2CC7-5781-450A-BA77-5DE3CF9BA964},d41a884e-5094-4f1b-b31d-fe32a9d3f64c,,-122.187036,37.14192
506477,38469075,,DEFAULT,,,cfcad,,0.01,CACZCC,,,,,,,,,,Undetermined,,,,,2/6/2025 9:16:10 PM,,,,,,,,,ONCC,,,,,,ROSALIA RX 2,,RX,FI,37.071503,-121.855427,,,{CC3A9D94-D48E-4E0D-AF66-07E7901329E7},,0,0,0,0,0,,000918,cfcad,,,,Santa Cruz,CACZCC,06087,CAL FIRE,CACZU,,State,Other,,,,,,,NC03B,CAL FIRE,CACZU,US-CA,,,,,,2025-CACZU-000918,No Decision,,,,10/11/2025 7:48:16 PM,10/11/2025 7:48:16 PM,1,0,,,{1F033F32-580A-490C-AFA6-B54946F2F7C9},5a9ac36f-5bdc-4e4e-9b2a-18e3a9742b20,,-121.855427,37.071503
446867,38399383,,DEFAULT,,,wildcade,124,,IDSCC,,,,,,,,,,Undetermined,,,,,2/11/2025 8:18:02 PM,,,,,,,,0414,GBCC,,,,,,Rock Creek Fuels and Vegetation RX,,RX,FI,42.19,-114.272,,,{54E4B9DC-32ED-45A5-983C-ECD15E4C4CF8},,0,,,,,,000029,wildcade,,,,Cassia,IDSCC,16031,USFS,IDSTF,,USFS,Federal,,,,,,,GB07,USFS,IDSTF,US-ID,,,,,,2025-IDSTF-000029,No Decision,,,,3/24/2025 5:39:12 PM,10/10/2025 12:43:54 AM,1,0,,,{DB1CAD20-89B4-42C8-BD26-E04B0ADC194C},58902cf2-dace-4930-b7b3-e30131c8cfff,,-114.272,42.19
506285,38468883,,DEFAULT,,,wildcade,,,NVLIC,,,,,,,,,,Undetermined,,,,,2/14/2025 8:29:23 PM,,,,,,,,,GBCC,,,,,,FOXTAIL / LEE BORROW PILE BURN RX,,RX,FI,36.306583,-115.677917,,,{30DCB9B0-73EB-4CB0-B0D1-60FF45FBA895},,0,1,,,,,500145,wildcade,,,,Clark,NVLIC,32003,USFS,NVHTF,,USFS,Federal,,,,,,,GB23,USFS,NVHTF,US-NV,,,,,,2025-NVHTF-500145,No Decision,,,,10/10/2025 8:14:32 PM,10/10/2025 8:14:39 PM,1,0,,,{D32A5C0D-C8B8-440C-B0AE-C701B530E4B1},ada6bed8-4b7b-41b1-b2e3-4f2b2209de7f,,-115.677917,36.306583
440715,38268407,,DEFAULT,,,wildcade,600,0.1,WYCPC,50000,,,,,Minimal,,,,Human,,,SG2Q,,2/21/2025 8:00:00 PM,,,0,100,0,0,,,RMCC,2/26/2025 5:45:02 PM,2/26/2025 12:00:00 AM,2/26/2025 5:00:00 PM,F,Type 3 IC,YO Ranch Road,"6 Miles SE of Wheatland, Wy",WF,FI,42.000536,-104.90347,,,{23388E9C-BB07-4ECE-9CA8-234065270F52},,0,1,,,,0,250018,wildcade,100,100,,Platte,WYCPC,56031,,,,Private,Private,,,,,,,RM25,C&L,WYPLX,US-WY,,,Short Grass (1 foot),Brush (2 feet),1,2025-WYPLX-250018,No Decision,,,,2/24/2025 3:18:38 PM,10/8/2025 10:30:44 PM,1,0,,,{23388E9C-BB07-4ECE-9CA8-234065270F52},fc876437-dda8-4573-bc3b-450bbece207c,Type 3 Incident,-104.90347,42.000536
440821,38276800,,DEFAULT,,,wildcade,500,0.2,WYCPC,50000,,,,,Minimal,,,,Human,,,SG2P,,2/22/2025 7:00:00 PM,,,0,100,0,0,,,RMCC,2/25/2025 9:57:58 PM,2/25/2025 9:00:00 PM,2/25/2025 9:45:00 PM,F,Area Command,Saw Mill,"2 Mile  East of  Wheatland, Wy",WF,FI,42.04107,-104.92062,,,{DF8325C4-6DAF-4210-B91F-166A200E99B2},,0,1,,,,0,250019,wildcade,100,100,Wheatland,Platte,WYCPC,56031,,,,Private,Private,,,,,,,RM25,C&L,WYPLX,US-WY,,,Short Grass (1 foot),Brush (2 feet),1,2025-WYPLX-250019,No Decision,,,,2/25/2025 12:11:01 AM,10/8/2025 10:30:22 PM,1,0,,,{DF8325C4-6DAF-4210-B91F-166A200E99B2},fe225b89-4ef8-4e9d-b3bb-8040b4c1428d,Type 3 Incident,-104.92062,42.04107
506283,38468882,,DEFAULT,,,wildcade,,,NVLIC,,,,,,,,,,Undetermined,,,,,3/3/2025 8:42:06 PM,,,,,,,,,GBCC,,,,,,MCFARLAND PILE BURN RX,,RX,FI,36.407908,-115.707064,,,{E84DC6F5-D68E-47D6-AA27-99672F3924E0},,0,,,,,,500198,wildcade,,,,Clark,NVLIC,32003,USFS,NVHTF,,USFS,Federal,,,,,,,GB23,USFS,NVHTF,US-NV,,,,,,2025-NVHTF-500198,No Decision,,,,10/10/2025 8:13:46 PM,10/10/2025 8:13:46 PM,1,0,,,{0B3E231F-42E3-4040-BC31-42364CD3F48D},8009d401-e0ff-40d3-99a7-8b4f60538726,,-115.707064,36.407908
444719,38397201,,DEFAULT,,,firesponse,90,90,TXTIC,,,,,,,,,,Undetermined,,,,,3/12/2025 2:45:00 PM,Type 5 Incident,,,,,,,,SACC,,,,,,Rx Jasper 1076,,RX,FI,31.06212,-94.11478,,,{0C040F6E-5974-47A8-8D3D-9024809C52CD},,0,,,,,0,251076,firesponse,0,,,Jasper,TXTIC,48241,SFS,TXTXS,,DOD,Federal,,,,,,,SA12,SFS,TXTXS,US-TX,,,,,,2025-TXTXS-251076,No Decision,,,,3/14/2025 9:30:11 PM,10/11/2025 3:30:18 PM,1,0,,,{096B2A94-ED4B-47E8-83F8-07E5A18A53B4},11e8d517-4224-48f5-8d16-7826f82cd583,Type 5 Incident,-94.11478,31.06212
